global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5883,4,-0.037102,0.009679,1.837877,0.004994,0.113125,0.024114,0.055196,0.0,3.7e-05,,,,,none
5883,4,-0.012293,0.01051,1.837877,0.004994,0.117189,0.043042,0.055589,0.0,3.7e-05,,,,,none
5883,4,0.007999,0.009172,1.837827,0.004994,0.110291,0.026175,0.055971,0.0,3.7e-05,,,,,none
5883,4,-0.079122,0.006525,1.837779,0.004994,0.103299,0.024034,0.049641,0.0,3.7e-05,,,,,none
5883,4,0.096327,0.014488,1.83773,0.004994,0.12228,0.037593,0.061086,0.0,3.7e-05,,,,,none
5883,4,-0.064351,0.007061,1.837671,0.004994,0.105433,0.060603,0.049101,0.0,3.7e-05,,,,,none
5883,4,-0.055523,0.00913,1.83763,0.004994,0.109346,0.052426,0.049437,0.0,3.7e-05,,,,,none
5883,4,0.022726,0.007851,1.837584,0.004994,0.104794,0.03866,0.053135,0.0,3.7e-05,,,,,none
5883,4,-0.010163,0.01035,1.837531,0.004994,0.108246,0.028973,0.051381,0.0,3.7e-05,,,,,none
5883,4,0.065253,0.011207,1.837496,0.004994,0.119388,0.050215,0.054825,0.0,3.7e-05,,,,,none
5883,4,0.003389,0.007237,1.837454,0.004994,0.096295,0.036382,0.049986,0.0,3.7e-05,,,,,none
5883,4,-0.124796,0.007636,1.837416,0.004994,0.097005,0.045943,0.042266,0.0,3.7e-05,,,,,none
11171,8,-0.013981,0.00658,1.837378,0.004982,0.104682,0.052779,0.036872,0.0,4.9e-05,,,,,none
11171,8,0.075851,0.005275,1.837349,0.004982,0.095306,0.077682,0.040538,0.0,4.9e-05,,,,,none
11171,8,-0.101528,0.006413,1.837306,0.004982,0.096018,0.058628,0.030656,0.0,4.9e-05,,,,,none
11171,8,0.000259,0.006788,1.837262,0.004982,0.101023,0.029293,0.034966,0.0,4.9e-05,,,,,none
11171,8,0.031201,0.005597,1.837215,0.004982,0.09946,0.115545,0.035954,0.0,4.9e-05,,,,,none
11171,8,-0.049424,0.004189,1.837174,0.004982,0.08116,0.055565,0.031052,0.0,4.9e-05,,,,,none
11171,8,-0.035422,0.005039,1.837138,0.004982,0.089437,0.051163,0.031069,0.0,4.9e-05,,,,,none
11171,8,0.088087,0.005092,1.837102,0.004982,0.091813,0.076088,0.036396,0.0,4.9e-05,,,,,none
11171,8,-0.081737,0.006704,1.837065,0.004982,0.099118,0.095076,0.027299,0.0,4.9e-05,,,,,none
11171,8,-0.109766,0.005827,1.837033,0.004982,0.093359,0.070547,0.025153,0.0,4.9e-05,,,,,none
11171,8,0.041106,0.004426,1.837001,0.004982,0.084141,0.054022,0.032159,0.0,4.9e-05,,,,,none
11171,8,0.114382,0.005454,1.836962,0.004982,0.092888,0.053631,0.034891,0.0,4.9e-05,,,,,none
16645,12,0.131,0.005626,1.836934,0.00497,0.097435,0.055117,0.048359,0.0,6.1e-05,,,,,none
16645,12,-0.068452,0.006424,1.836907,0.00497,0.098485,0.034758,0.037908,0.0,6.1e-05,,,,,none
16645,12,-0.074665,0.006007,1.836871,0.00497,0.096209,0.055262,0.036892,0.0,6.1e-05,,,,,none
16645,12,-0.169057,0.005623,1.836832,0.00497,0.088964,0.040566,0.031466,0.0,6.1e-05,,,,,none
16645,12,0.128363,0.005908,1.836799,0.00497,0.099502,0.027337,0.044703,0.0,6.1e-05,,,,,none
16645,12,0.074178,0.005252,1.836759,0.00497,0.092025,0.030177,0.041414,0.0,6.1e-05,,,,,none
16645,12,0.12728,0.004757,1.83672,0.00497,0.089411,0.034484,0.042998,0.0,6.1e-05,,,,,none
16645,12,-0.042898,0.005576,1.836683,0.00497,0.090013,0.040059,0.033888,0.0,6.1e-05,,,,,none
16645,12,-0.107498,0.005669,1.836631,0.00497,0.090812,0.079981,0.029915,0.0,6.1e-05,,,,,none
16645,12,-0.05139,0.004729,1.836603,0.00497,0.08458,0.025135,0.031924,0.0,6.1e-05,,,,,none
16645,12,0.075287,0.005477,1.836577,0.00497,0.091555,0.032736,0.036597,0.0,6.1e-05,,,,,none
16645,12,-0.016875,0.004486,1.836551,0.00497,0.080637,0.060916,0.031493,0.0,6.1e-05,,,,,none
22433,16,-0.025557,0.009546,1.83652,0.004958,0.115407,0.01262,0.06274,0.0,7.3e-05,,,,,none
22433,16,-0.006053,0.009225,1.83648,0.004958,0.114493,0.01306,0.062219,0.0,7.3e-05,,,,,none
22433,16,-0.01838,0.008664,1.836441,0.004958,0.110272,0.04862,0.060478,0.0,7.3e-05,,,,,none
22433,16,-0.042254,0.007015,1.836401,0.004958,0.104955,0.037011,0.057014,0.0,7.3e-05,,,,,none
22433,16,-0.062749,0.007485,1.836356,0.004958,0.104264,0.044703,0.054918,0.0,7.3e-05,,,,,none
22433,16,0.068552,0.010929,1.8363,0.004958,0.108674,0.063011,0.061391,0.0,7.3e-05,,,,,none
22433,16,0.02555,0.005479,1.836266,0.004958,0.094402,0.017542,0.055651,0.0,7.3e-05,,,,,none
22433,16,0.00037,0.009203,1.83623,0.004958,0.101475,0.037192,0.054033,0.0,7.3e-05,,,,,none
22433,16,-0.087171,0.007903,1.83621,0.004958,0.095529,0.068338,0.047366,0.0,7.3e-05,,,,,none
22433,16,-0.083906,0.006189,1.836173,0.004958,0.08712,0.037254,0.045388,0.0,7.3e-05,,,,,none
22433,16,0.001669,0.004562,1.836128,0.004958,0.079784,0.0271,0.047724,0.0,7.3e-05,,,,,none
22433,16,0.041052,0.009712,1.8361,0.004958,0.098336,0.064799,0.04898,0.0,7.3e-05,,,,,none
28097,20,-0.065596,0.006367,1.836064,0.004946,0.094566,0.0632,0.0451,0.0,8.5e-05,,,,,none
28097,20,0.021812,0.004038,1.836049,0.004946,0.084913,0.028225,0.047593,0.0,8.5e-05,,,,,none
28097,20,0.037436,0.008962,1.836041,0.004946,0.097092,0.047328,0.047468,0.0,8.5e-05,,,,,none
28097,20,-0.070514,0.003455,1.836034,0.004946,0.075178,0.04617,0.038332,0.0,8.5e-05,,,,,none
28097,20,0.095917,0.007728,1.836046,0.004946,0.088076,0.015632,0.045568,0.0,8.5e-05,,,,,none
28097,20,-0.047687,0.004808,1.836058,0.004946,0.078049,0.084147,0.03444,0.0,8.5e-05,,,,,none
28097,20,0.008512,0.005131,1.836077,0.004946,0.073535,0.032444,0.035565,0.0,8.5e-05,,,,,none
28097,20,-0.007419,0.002446,1.836101,0.004946,0.061378,0.052697,0.031706,0.0,8.5e-05,,,,,none
28097,20,-0.018424,0.006614,1.836126,0.004946,0.073343,0.056637,0.029864,0.0,8.5e-05,,,,,none
28097,20,-0.111309,0.004373,1.836168,0.004946,0.062786,0.083047,0.021739,0.0,8.5e-05,,,,,none
28097,20,0.050993,0.003686,1.836226,0.004946,0.056618,0.027912,0.028044,0.0,8.5e-05,,,,,none
28097,20,0.05769,0.0037,1.836277,0.004946,0.053136,0.038308,0.025779,0.0,8.5e-05,,,,,none
33755,24,-0.146116,0.004398,1.83633,0.004934,0.078771,0.085075,0.034278,0.0,9.7e-05,,,,,none
33755,24,0.058433,0.003368,1.836426,0.004934,0.071362,0.024153,0.041557,0.0,9.7e-05,,,,,none
33755,24,0.10256,0.007627,1.836522,0.004934,0.081762,0.06558,0.043356,0.0,9.7e-05,,,,,none
33755,24,0.100307,0.004773,1.836637,0.004934,0.066672,0.043289,0.038989,0.0,9.7e-05,,,,,none
33755,24,-0.012735,0.002658,1.836763,0.004934,0.056595,0.040297,0.029726,0.0,9.7e-05,,,,,none
33755,24,-0.12022,0.005108,1.836892,0.004934,0.065015,0.101014,0.019605,0.0,9.7e-05,,,,,none
33755,24,-0.038944,0.001905,1.837047,0.004934,0.046095,0.060129,0.020892,0.0,9.7e-05,,,,,none
33755,24,-0.019892,0.004648,1.837218,0.004934,0.053758,0.077238,0.018978,0.0,9.7e-05,,,,,none
33755,24,0.06858,0.003698,1.837399,0.004934,0.040695,0.0462,0.020556,0.0,9.7e-05,,,,,none
33755,24,0.024033,0.002037,1.83756,0.004934,0.036724,0.027605,0.01375,0.0,9.7e-05,,,,,none
33755,24,-0.031071,0.00413,1.837712,0.004934,0.035684,0.071469,0.008748,0.0,9.7e-05,,,,,none
33755,24,0.00159,0.002809,1.83788,0.004934,0.030049,0.025986,0.005941,0.0,9.7e-05,,,,,none
39635,28,-0.046633,0.004801,1.838046,0.004922,0.064598,0.036712,0.004004,0.0,0.0001,,,,,none
39635,28,0.066458,0.003201,1.838209,0.004922,0.057334,0.007365,0.006278,0.0,0.0001,,,,,none
39635,28,-0.010733,0.003218,1.838358,0.004922,0.051669,0.03504,0.003206,0.0,0.0001,,,,,none
39635,28,0.020595,0.003981,1.838486,0.004922,0.053272,0.085115,0.003995,0.0,0.0001,,,,,none
39635,28,0.159808,0.001911,1.838621,0.004922,0.041627,0.041837,0.002875,0.0,0.0001,,,,,none
39635,28,-0.190226,0.005389,1.838728,0.004922,0.063771,0.080093,0.019321,0.0,0.0001,,,,,none
39635,28,-0.01519,0.003881,1.838821,0.004922,0.050425,0.015332,0.011759,0.0,0.0001,,,,,none
39635,28,0.091015,0.002704,1.838899,0.004922,0.0425,0.040737,0.007948,0.0,0.0001,,,,,none
39635,28,-0.073791,0.004622,1.83897,0.004922,0.05295,0.056678,0.017943,0.0,0.0001,,,,,none
39635,28,-0.084767,0.00479,1.839042,0.004922,0.05419,0.073025,0.019269,0.0,0.0001,,,,,none
39635,28,0.01199,0.003587,1.8391,0.004922,0.044168,0.029294,0.015778,0.0,0.0001,,,,,none
39635,28,0.095558,0.00259,1.839167,0.004922,0.039141,0.068537,0.011469,0.0,0.0001,,,,,none
45232,32,-0.010977,0.004974,1.839203,0.00491,0.064331,0.094465,0.012773,0.0,0.0001,,,,,none
45232,32,-0.027384,0.004983,1.83923,0.00491,0.064768,0.033968,0.013561,0.0,0.0001,,,,,none
45232,32,0.051096,0.003708,1.839248,0.00491,0.059021,0.080667,0.008458,0.0,0.0001,,,,,none
45232,32,-0.002981,0.004891,1.839236,0.00491,0.061758,0.04422,0.011514,0.0,0.0001,,,,,none
