global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
5839,4,-0.167921,0.009576,1.837877,0.006742,0.08115,0.05288,0.023,0.024289,3.7e-05,,,,,lstm
5839,4,0.127173,0.005738,1.837877,0.006742,0.067089,0.055258,0.006032,0.019316,3.7e-05,,,,,lstm
5839,4,0.017765,0.006828,1.837939,0.006742,0.069326,0.051582,0.011749,0.020266,3.7e-05,,,,,lstm
5839,4,-0.155545,0.009839,1.837995,0.006742,0.082668,0.047872,0.021131,0.015753,3.7e-05,,,,,lstm
5839,4,0.065506,0.005679,1.838051,0.006742,0.067752,0.04095,0.008352,0.016564,3.7e-05,,,,,lstm
5839,4,0.074723,0.006363,1.838109,0.006742,0.067479,0.047967,0.00749,0.022172,3.7e-05,,,,,lstm
5839,4,0.05405,0.005198,1.838165,0.006742,0.067046,0.040521,0.008278,0.011814,3.7e-05,,,,,lstm
5839,4,-0.031963,0.007147,1.838223,0.006742,0.072556,0.061026,0.012761,0.025955,3.7e-05,,,,,lstm
5839,4,-0.053426,0.009787,1.838281,0.006742,0.08036,0.015192,0.013677,0.006544,3.7e-05,,,,,lstm
5839,4,0.063934,0.006281,1.838335,0.006742,0.065736,0.016505,0.006747,0.004441,3.7e-05,,,,,lstm
5839,4,0.078159,0.005528,1.838389,0.006742,0.065247,0.070385,0.005632,0.029033,3.7e-05,,,,,lstm
5839,4,-0.190861,0.010144,1.838434,0.006742,0.090605,0.106269,0.020306,0.041945,3.7e-05,,,,,lstm
11671,8,0.084262,0.005411,1.838487,0.006726,0.074148,0.037093,0.028608,0.016304,4.9e-05,,,,,lstm
11671,8,-0.035821,0.006808,1.838562,0.006726,0.078201,0.06027,0.022853,0.02287,4.9e-05,,,,,lstm
11671,8,-0.036565,0.006054,1.838638,0.006726,0.079069,0.044832,0.023068,0.010121,4.9e-05,,,,,lstm
11671,8,0.086226,0.004304,1.838713,0.006726,0.070643,0.009548,0.028936,0.012006,4.9e-05,,,,,lstm
11671,8,-0.000735,0.005888,1.838781,0.006726,0.075956,0.037551,0.024432,0.01419,4.9e-05,,,,,lstm
11671,8,-0.080528,0.008235,1.838853,0.006726,0.083978,0.084425,0.019724,0.027791,4.9e-05,,,,,lstm
11671,8,0.015351,0.005803,1.838933,0.006726,0.077405,0.057112,0.024551,0.021574,4.9e-05,,,,,lstm
11671,8,0.048646,0.006009,1.839014,0.006726,0.074626,0.029126,0.025195,0.016342,4.9e-05,,,,,lstm
11671,8,-0.055176,0.005896,1.839089,0.006726,0.072208,0.060092,0.020125,0.012677,4.9e-05,,,,,lstm
11671,8,-0.003159,0.006831,1.83917,0.006726,0.073609,0.041179,0.021548,0.015799,4.9e-05,,,,,lstm
11671,8,0.003027,0.005639,1.839247,0.006726,0.07098,0.034523,0.021663,0.013403,4.9e-05,,,,,lstm
11671,8,0.01875,0.004568,1.839324,0.006726,0.073156,0.059877,0.022325,0.014613,4.9e-05,,,,,lstm
17775,12,-0.047233,0.007213,1.839407,0.00671,0.07885,0.032827,0.011152,0.014042,6.1e-05,,,,,lstm
17775,12,0.103358,0.005241,1.839495,0.00671,0.072555,0.065173,0.01842,0.01832,6.1e-05,,,,,lstm
17775,12,-0.059369,0.006972,1.839552,0.00671,0.076314,0.084974,0.009138,0.035861,6.1e-05,,,,,lstm
17775,12,0.040949,0.007876,1.839588,0.00671,0.075374,0.057079,0.013237,0.025575,6.1e-05,,,,,lstm
17775,12,-0.077451,0.005679,1.83962,0.00671,0.072617,0.096672,0.006666,0.035908,6.1e-05,,,,,lstm
